D9775,Diapers,2017-01-01,12.46,94
D80,Diapers,2017-01-01,11.56,102
D3248,Diapers,2017-01-01,12.21,93
D1714,Diapers,2017-01-01,11.54,75
D1408,Diapers,2017-01-01,13.16,94
D4564,Diapers,2017-01-01,13.09,86
D8861,Diapers,2017-01-01,11.83,85
D1053,Diapers,2017-01-01,10.75,117
D4231,Diapers,2017-01-01,12.53,80
D9387,Diapers,2017-01-01,10.92,82
D7870,Diapers,2017-01-01,11.48,32
D9492,Diapers,2017-01-01,9.89,48
D7274,Diapers,2017-01-01,10.01,44
D5826,Diapers,2017-01-01,10.86,30
D3237,Diapers,2017-01-01,12.45,27
D6346,Diapers,2017-01-01,8.27,57
D796,Diapers,2017-01-01,10.6,37
D3307,Diapers,2017-01-01,9.75,45
D4192,Diapers,2017-01-01,11.61,36
D1278,Diapers,2017-01-01,9.95,36
D9904,Diapers,2017-01-01,8.16,57
D8421,Diapers,2017-01-01,8.89,56
D6247,Diapers,2017-01-01,9.06,51
D3029,Diapers,2017-01-01,9.79,44
D7147,Diapers,2017-01-01,9.23,38
D4263,Diapers,2017-01-01,10.73,44
D4389,Diapers,2017-01-01,11.42,39
D7511,Diapers,2017-01-01,10.28,28
D8200,Diapers,2017-01-01,8.49,49
D6936,Diapers,2017-01-01,12.22,39
D8500,Diapers,2017-01-01,6.26,21
D4595,Diapers,2017-01-01,7.36,13
D8085,Diapers,2017-01-01,8.36,9
D8542,Diapers,2017-01-01,8.32,13
D7329,Diapers,2017-01-01,8.55,11
D5119,Diapers,2017-01-01,9.95,7
D5674,Diapers,2017-01-01,7.78,13
D1346,Diapers,2017-01-01,8.17,12
D702,Diapers,2017-01-01,8.76,8
D2096,Diapers,2017-01-01,7.48,15
D1322,Diapers,2017-01-01,7.19,19
D1036,Diapers,2017-01-01,7.82,14
D5574,Diapers,2017-01-01,7.56,11
D306,Diapers,2017-01-01,7.9,9
D9761,Diapers,2017-01-01,8.57,11
D6897,Diapers,2017-01-01,7.44,18
D1211,Diapers,2017-01-01,6.38,20
D3684,Diapers,2017-01-01,5.89,23
D4670,Diapers,2017-01-01,8.63,9
D6853,Diapers,2017-01-01,7.6,16
D7755,Diapers,2017-01-01,8.22,13
D2587,Diapers,2017-01-01,8.13,14
D5374,Diapers,2017-01-01,8.51,11
D1425,Diapers,2017-01-01,6.42,14
D2050,Diapers,2017-01-01,8.15,11
D5991,Diapers,2017-01-01,10.72,5
D9927,Diapers,2017-01-01,8.22,10
D9976,Diapers,2017-01-01,6.69,14
D4436,Diapers,2017-01-01,8.96,8
D5156,Diapers,2017-01-01,7.93,11
D8829,Diapers,2017-01-01,6.45,19
D1515,Diapers,2017-01-01,9.82,8
D3078,Diapers,2017-01-01,7.8,16
D2092,Diapers,2017-01-01,8.97,10
D506,Diapers,2017-01-01,9.1,8
D1207,Diapers,2017-01-01,8.0,12
D1963,Diapers,2017-01-01,8.58,11
D4687,Diapers,2017-01-01,6.54,16
D8139,Diapers,2017-01-01,9.11,10
D2786,Diapers,2017-01-01,6.57,19
D9604,Diapers,2017-01-01,9.05,9
D7680,Diapers,2017-01-01,7.59,13
D3108,Diapers,2017-01-01,9.49,8
D8876,Diapers,2017-01-01,9.52,7
D268,Diapers,2017-01-01,6.49,13
D7328,Diapers,2017-01-01,7.82,11
D131,Diapers,2017-01-01,10.59,4
